# Engage CRC32 hash -> bone path map
# Format: <hash_hex_8>	<bone_path>
# Generated from uRig prefabs (extracted from Engage) + 1 stray bone
6CE9DA84	c_trans
915EA1ED	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt/r_sprfrlA3_jnt
31115663	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt/r_sprfrlA3_jnt/r_sprfrlA4_jnt
9B2727AA	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt/r_sprfrlA3_jnt/r_sprfrlA4_jnt/r_frlA5_jnt
81EF872E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt/r_sprfrlA3_jnt/r_sprfrlA4_piv
21A070A0	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt/r_sprfrlA3_piv
B900C232	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_piv
1C4D748C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_piv
2A27D76F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt
F474E332	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt
08342A5E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt/r_sprfrlB3_jnt
2D49CF24	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt/r_sprfrlB3_jnt/r_sprfrlB4_jnt
1B25B373	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt/r_sprfrlB3_jnt/r_sprfrlB4_jnt/r_frlB5_jnt
9DB71E69	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt/r_sprfrlB3_jnt/r_sprfrlB4_piv
B8CAFB13	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_jnt/r_sprfrlB3_piv
448A327F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_jnt/r_sprfrlB2_piv
9AD90622	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlB1_piv
C0A1D410	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt
0F3407D8	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt
F00A4C52	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt
21E5B4A9	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt/r_sprropA3_jnt
115FF53E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt/r_sprropA3_jnt/r_sprropA4_jnt
E502D48C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt/r_sprropA3_jnt/r_sprropA4_jnt/r_ropA5_jnt
A1A12473	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt/r_sprropA3_jnt/r_sprropA4_piv
911B65E4	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_jnt/r_sprropA3_piv
40F49D1F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_jnt/r_sprropA2_piv
BFCAD695	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropA1_piv
89A07576	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt
0D80BC1F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt
B88F3F1A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt/r_sprropB3_jnt
0D076C79	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt/r_sprropB3_jnt/r_sprropB4_jnt
65004055	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt/r_sprropB3_jnt/r_sprropB4_jnt/r_ropB5_jnt
BDF9BD34	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt/r_sprropB3_jnt/r_sprropB4_piv
0871EE57	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_jnt/r_sprropB3_piv
BD7E6D52	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_jnt/r_sprropB2_piv
395EA43B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/r_mngrop_jnt/r_sprropB1_piv
BDFA3E77	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt
366CF2D1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt
65014172	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt
BE3CB129	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt
EFA3E22B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/c_head_loc
27EFB3AE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/c_jaw_jnt
B84D815C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/c_jaw_jnt/c_ton1_jnt
7EB67B13	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/c_jaw_jnt/c_ton1_jnt/c_ton2_jnt
3CC41424	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/c_spine2vol_jnt
0D2F9984	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_head_jnt/lookAt_loc
B7CB8E74	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck1_jnt/c_neck2_jnt/c_neck_jnt
0085CCCD	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt
C2064641	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt
60C5DA02	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_head2_loc
B7C4CC25	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_head_loc
70F53C87	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt
294F1B51	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt
183CBD61	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt/c_sprmntB2_jnt
D79C83AD	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt/c_sprmntB2_jnt/c_sprmntB3_jnt
2F913A88	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt/c_sprmntB2_jnt/c_sprmntB3_jnt/c_mntB4_jnt
676252E0	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt/c_sprmntB2_jnt/c_sprmntB3_piv
A8C26C2C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_jnt/c_sprmntB2_piv
99B1CA1C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/c_sprmntB1_piv
B4877C02	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt
469495B3	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt/l_sprmntC2_jnt
40AC1395	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt/l_sprmntC2_jnt/l_sprmntC3_jnt
7A00018A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt/l_sprmntC2_jnt/l_sprmntC3_jnt/l_mntC4_jnt
F052C2D8	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt/l_sprmntC2_jnt/l_sprmntC3_piv
F66A44FE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_jnt/l_sprmntC2_piv
0479AD4F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntC1_piv
A9824CBA	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt
32762353	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt/l_sprmntD2_jnt
68FE861C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt/l_sprmntD2_jnt/l_sprmntD3_jnt
B6E34F9B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt/l_sprmntD2_jnt/l_sprmntD3_jnt/l_mntD4_jnt
D8005751	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt/l_sprmntD2_jnt/l_sprmntD3_piv
8288F21E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_jnt/l_sprmntD2_piv
197C9DF7	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/l_sprmntD1_piv
19AE15EE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt
52C86461	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt/r_sprmntC2_jnt
ED203AB9	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt/r_sprmntC2_jnt/r_sprmntC3_jnt
8FB84558	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt/r_sprmntC2_jnt/r_sprmntC3_jnt/r_mntC4_jnt
5DDEEBF4	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt/r_sprmntC2_jnt/r_sprmntC3_piv
E236B52C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_jnt/r_sprmntC2_piv
A950C4A3	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntC1_piv
04AB2556	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt
262AD281	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt/r_sprmntD2_jnt
C572AF30	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt/r_sprmntD2_jnt/r_sprmntD3_jnt
435B0B49	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt/r_sprmntD2_jnt/r_sprmntD3_jnt/r_mntD4_jnt
758C7E7D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt/r_sprmntD2_jnt/r_sprmntD3_piv
96D403CC	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_jnt/r_sprmntD2_piv
B455F41B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_mngmnt2_jnt/r_sprmntD1_piv
9B5E81AC	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2_loc
49D226A6	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt
2F33382A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt
77AF0C5B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/c_accarch_jnt
EA8FC7F7	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/c_acclance_jnt
46B740A1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/c_accmagic_jnt
34656006	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/c_accshield_jnt
BC1B7301	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_acclance_jnt
1023F457	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accmagic_jnt
60EDA39B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accshield_jnt
262B3537	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accsword_jnt
B11CADF9	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt
4F5A731B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt/l_accwingA_jnt
08FA09CB	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt/l_accwingB_jnt
359A207B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt/l_accwingC_jnt
87BAFC6B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt/l_accwingD_jnt
BADAD5DB	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/l_accwing_jnt/l_accwingE_jnt
11321AED	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_acclance_jnt
BD0A9DBB	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accmagic_jnt
C9FC24A1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accshield_jnt
8B025CDB	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accsword_jnt
FFFD0793	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt
F13F2D81	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt/r_accwingA_jnt
B69F5751	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt/r_accwingB_jnt
8BFF7EE1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt/r_accwingC_jnt
39DFA2F1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt/r_accwingD_jnt
04BF8B41	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_accall_jnt/r_accwing_jnt/r_accwingE_jnt
3951836E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_acctop_jnt
9AF22635	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt
EE298222	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt
483467C8	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt/c_sprmntA2_jnt
F10F5FCC	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt/c_sprmntA2_jnt/c_sprmntA3_jnt
C4C0DAFE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt/c_sprmntA2_jnt/c_sprmntA3_jnt/c_mntA4_jnt
41F18E81	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt/c_sprmntA2_jnt/c_sprmntA3_piv
F8CAB685	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_jnt/c_sprmntA2_piv
5ED7536F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/c_mngmnt_jnt/c_sprmntA1_piv
ADD412A6	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/l_acclow_jnt
8FE9DFEF	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/l_acclow_jnt/l_effect1_loc
A4B15FEC	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/l_accup_jnt
48FD2C44	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/r_acclow_jnt
01ADDEF0	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/r_acclow_jnt/r_effect1_loc
5831B021	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine2vol_jnt/r_accup_jnt
387B6028	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt
3BBB394A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_mngmneA_jnt
32E1A8EE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_mngmneA_jnt/c_sprmneA_jnt
1B4437C9	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_mngmneA_jnt/c_sprmneA_jnt/c_mneA_jnt
26EBCC66	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt
D2A87293	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_mngmneC_jnt
3FB5AC97	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_mngmneC_jnt/c_sprmneC_jnt
59BBAD0E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_mngmneC_jnt/c_sprmneC_jnt/c_mneC_jnt
F0D2BBDA	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt
B806311D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt
EC65907F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_head_loc
577FEB2C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_jaw_jnt
3E8F667C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_jaw_jnt/c_tongue1_jnt
D676D4F1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_jaw_jnt/c_tongue1_jnt/c_tongue2_jnt
4A763232	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_mngmneB_jnt
BA199423	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_mngmneB_jnt/c_sprmneB_jnt
E9E6B135	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_mngmneB_jnt/c_sprmneB_jnt/c_mneB_jnt
8E6EAC09	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/c_spine2vol_jnt
EC51455E	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/l_eyeLow_jnt
259CC747	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/l_eyeUp_jnt
8B2B1000	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/l_eye_jnt
09787BBC	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/r_eyeLow_jnt
D91C288A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/r_eyeUp_jnt
EF2989E3	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_neck_jnt/c_neck1_jnt/c_head_jnt/r_eye_jnt
C7A8FF74	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt
00491C8D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt
9ACCD542	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt
7A2FF0E3	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt
B5343528	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt
4EECA392	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt
8492924A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt/c_neck5_jnt
B50F03A9	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt/c_neck5_jnt/c_neck6_jnt
CF259B98	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt/c_neck5_jnt/c_neck6_jnt/c_neck_jnt
D7057D61	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt/c_neck5_jnt/c_neck6_jnt/c_neck_jnt/c_head_jnt
7330713B	c_trans/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_spine3_jnt/c_spine4_jnt/c_spine5_jnt/c_neck1_jnt/c_neck2_jnt/c_neck3_jnt/c_neck4_jnt/c_neck5_jnt/c_neck6_jnt/c_neck_jnt/c_head_jnt/c_eye_jnt
