# Engage CRC32 hash -> bone path map
# Format: <hash_hex_8>	<bone_path>
# Generated from uRig prefabs (extracted from Engage) + 1 stray bone
6CE9DA84	c_trans
A0ADFB02	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/l_arm1_jnt
65B0D877	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/l_arm1_jnt/l_arm2_jnt
99CA4A59	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/r_arm1_jnt
C4FC7770	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/r_arm1_jnt/r_arm2_jnt
9116C281	c_trans/c_center/c_hip_jnt/l_leg1_jnt
04E4BB4F	c_trans/c_center/c_hip_jnt/l_leg1_jnt/l_leg2_jnt
A87173DA	c_trans/c_center/c_hip_jnt/r_leg1_jnt
A5A81448	c_trans/c_center/c_hip_jnt/r_leg1_jnt/r_leg2_jnt
1E3208F6	c_trans/c_hip_jnt
E20C1D7B	c_trans/c_hip_jnt/b_mngskt_jnt
5E9C4AAB	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt
FE6DD207	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt/b_sprsktA2_jnt
29DC65C0	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt/b_sprsktA2_jnt/b_sprsktA3_jnt
FD9A1BCB	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt/b_sprsktA2_jnt/b_sprsktA3_jnt/b_sktA4_jnt
9922B48D	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt/b_sprsktA2_jnt/b_sprsktA3_piv
4E93034A	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_jnt/b_sprsktA2_piv
EE629BE6	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktA1_piv
D8083805	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt
03E7224A	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt/b_sprsktB2_jnt
B0B6EE73	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt/b_sprsktB2_jnt/b_sprsktB3_jnt
8C4D3076	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt/b_sprsktB2_jnt/b_sprsktB3_jnt/b_sktB4_jnt
00483F3E	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt/b_sprsktB2_jnt/b_sprsktB3_piv
B319F307	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_jnt/b_sprsktB2_piv
68F6E948	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktB1_piv
1354EBA0	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt
57617271	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt/b_sprsktC2_jnt
71406ADD	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt/b_sprsktC2_jnt/b_sprsktC3_jnt
A300291D	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt/b_sprsktC2_jnt/b_sprsktC3_jnt/b_sktC4_jnt
C1BEBB90	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt/b_sprsktC2_jnt/b_sprsktC3_piv
E79FA33C	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_jnt/b_sprsktC2_piv
A3AA3AED	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktC1_piv
0E51DB18	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt
2383C491	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt/b_sprsktD2_jnt
5912FF54	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt/b_sprsktD2_jnt/b_sprsktD3_jnt
6FE3670C	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt/b_sprsktD2_jnt/b_sprsktD3_jnt/b_sktD4_jnt
E9EC2E19	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt/b_sprsktD2_jnt/b_sprsktD3_piv
937D15DC	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_jnt/b_sprsktD2_piv
BEAF0A55	c_trans/c_hip_jnt/b_mngskt_jnt/b_sprsktD1_piv
45542BAE	c_trans/c_hip_jnt/c_hip2_jnt
B6B66726	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt
D7E3ADD3	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt
618EB178	c_trans/c_hip_jnt/c_hip2_jnt/c_tail1_jnt/c_tail2_jnt/c_tail3_jnt
